Linux 5.11.0-36-generic (pwmoose-PowerEdge-T640) 	2021年09月25日 	_x86_64_	(40 CPU)

15时03分36秒 kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
15时06分44秒 193761048 192976420  68722064     26.07     44080    851388  72694828     27.36    221312  68687020        12
15时06分45秒 192592744 191808116  69890320     26.51     44080    851388  73897556     27.81    221316  69854536        12
15时06分46秒 191446468 190661840  71036588     26.95     44080    851388  75072432     28.26    221312  70999616        12
15时06分47秒 190306492 189521880  72176612     27.38     44088    851388  76243448     28.70    221328  72137140        12
15时06分48秒 189161660 188377048  73321416     27.82     44088    851388  77424016     29.14    221320  73278216        12
15时06分49秒 188005720 187221108  74477348     28.25     44092    851388  78610472     29.59    221328  74430220         4
15时06分50秒 186864336 186079740  75618716     28.69     44092    851388  79786260     30.03    221316  75569720         8
15时06分51秒 185712688 184928092  76770344     29.12     44092    851388  80970344     30.48    221332  76719708         8
15时06分52秒 184566324 183781732  77916700     29.56     44100    851388  82147544     30.92    221328  77861180        28
15时06分53秒 183427836 182643244  79055208     29.99     44100    851388  83316832     31.36    221332  78996004        28
15时06分54秒 182284732 181500140  80198284     30.43     44100    851388  84489460     31.80    221332  80140984        28
15时06分55秒 182051764 181267172  80431244     30.51     44100    851388  84726308     31.89    221332  80372620        28
15时06分56秒 233020900 232237828  29462048     11.18     44100    851392  81962620     30.85    223636  29342192       136
15时06分57秒 261768924 260984316    935576      0.35     44108    631696   3695380      1.39    293400    706600       160
15时06分58秒 261768948 260984340    935552      0.35     44108    631696   3695380      1.39    293400    706600       160
15时06分59秒 261769264 260984656    935268      0.35     44108    631688   3695380      1.39    293392    706520       156
15时07分00秒 261769816 260985208    934720      0.35     44108    631684   3695380      1.39    293388    706740       156
15时07分01秒 261770316 260985708    934156      0.35     44108    631696   3695380      1.39    293392    706608       156
15时07分02秒 261770016 260985408    934408      0.35     44108    631696   3695380      1.39    293400    706600       156
15时07分03秒 261770424 260985816    934000      0.35     44116    631688   3695380      1.39    293388    706640       156
15时07分04秒 261771488 260986880    932944      0.35     44116    631696   3695380      1.39    293388    706592       156
15时07分05秒 261772868 260988260    931564      0.35     44116    631696   3695380      1.39    293388    706612       156
15时07分06秒 261773840 260989232    930776      0.35     44116    631696   3695380      1.39    293392    706920       156
15时07分07秒 261773548 260988940    931052      0.35     44116    631696   3695380      1.39    293392    706608       156
15时07分08秒 261774328 260989724    930284      0.35     44124    631696   3695380      1.39    293400    706600       156
15时07分09秒 261775756 260991152    929008      0.35     44124    631696   3695380      1.39    293392    706608       156
15时07分10秒 261776488 260991884    928252      0.35     44124    631696   3695380      1.39    293392    706608       156
15时07分11秒 261778004 260993400    926904      0.35     44124    631696   3695380      1.39    293392    706608       156
15时07分12秒 261778012 260993408    926972      0.35     44124    631696   3695380      1.39    293400    706600       156
15时07分13秒 261779140 260994536    925828      0.35     44132    631696   3695380      1.39    293392    706608       156
15时07分14秒 261779160 260994556    925800      0.35     44132    631696   3695380      1.39    293400    706600       156
15时07分15秒 261779656 260995052    925304      0.35     44132    631696   3695380      1.39    293388    706640       156
15时07分16秒 261780248 260995644    924716      0.35     44132    631696   3695380      1.39    293400    706628       156
